donor_id,donor_name,donor_age,donor_color,sample_well,sample_polygon,sample_mri_0,sample_mri_1,sample_mri_2,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
15697,"H0351.1016","55 years","EB3B00",159226087,156954271,95,106,133,4235,"cingulate gyrus, retrosplenial part","CgGr","7F6933",4220,"cingulate gyrus","CgG","7F6233"
9861,"H0351.2001","24 years","EC891D",517,39630,92,95,67,4062,"subcallosal cingulate gyrus","SCG","7F5F33",4220,"cingulate gyrus","CgG","7F6233"
10021,"H0351.2002","39 years","0079C0",4809,992922,97,93,54,4062,"subcallosal cingulate gyrus","SCG","7F5F33",4220,"cingulate gyrus","CgG","7F6233"
12876,"H0351.1009","57 years","509800",11293,1266194,98,126,61,4062,"subcallosal cingulate gyrus","SCG","7F5F33",4220,"cingulate gyrus","CgG","7F6233"
14380,"H0351.1012","31 years","960050",126431625,1403326,96,115,67,4062,"subcallosal cingulate gyrus","SCG","7F5F33",4220,"cingulate gyrus","CgG","7F6233"
15496,"H0351.1015","49 years","C2C200",-1,-1,-1,-1,-1,4062,"subcallosal cingulate gyrus","SCG","7F5F33",4220,"cingulate gyrus","CgG","7F6233"
15697,"H0351.1016","55 years","EB3B00",157772986,155850202,96,128,64,4062,"subcallosal cingulate gyrus","SCG","7F5F33",4220,"cingulate gyrus","CgG","7F6233"
9861,"H0351.2001","24 years","EC891D",2491,41207,116,105,100,12891,"dentate gyrus","DG","FFB566",4249,"hippocampal formation","HiF","FFC466"
10021,"H0351.2002","39 years","0079C0",5700,998938,109,77,110,12891,"dentate gyrus","DG","FFB566",4249,"hippocampal formation","HiF","FFC466"
12876,"H0351.1009","57 years","509800",13762,1288532,123,108,126,12891,"dentate gyrus","DG","FFB566",4249,"hippocampal formation","HiF","FFC466"
14380,"H0351.1012","31 years","960050",139379802,112429620,114,105,129,12891,"dentate gyrus","DG","FFB566",4249,"hippocampal formation","HiF","FFC466"
15496,"H0351.1015","49 years","C2C200",147628345,127001454,118,131,107,12891,"dentate gyrus","DG","FFB566",4249,"hippocampal formation","HiF","FFC466"
15697,"H0351.1016","55 years","EB3B00",160091979,145964255,120,129,107,12891,"dentate gyrus","DG","FFB566",4249,"hippocampal formation","HiF","FFC466"
9861,"H0351.2001","24 years","EC891D",2850,41211,124,107,100,12892,"CA1 field","CA1","FFBA66",4249,"hippocampal formation","HiF","FFC466"
10021,"H0351.2002","39 years","0079C0",5668,1002584,111,82,114,12892,"CA1 field","CA1","FFBA66",4249,"hippocampal formation","HiF","FFC466"
12876,"H0351.1009","57 years","509800",13730,1288898,130,112,126,12892,"CA1 field","CA1","FFBA66",4249,"hippocampal formation","HiF","FFC466"
14380,"H0351.1012","31 years","960050",127687637,1408736,126,126,109,12892,"CA1 field","CA1","FFBA66",4249,"hippocampal formation","HiF","FFC466"
15496,"H0351.1015","49 years","C2C200",148955294,138199757,132,123,119,12892,"CA1 field","CA1","FFBA66",4249,"hippocampal formation","HiF","FFC466"
15697,"H0351.1016","55 years","EB3B00",160091915,147066198,123,131,107,12892,"CA1 field","CA1","FFBA66",4249,"hippocampal formation","HiF","FFC466"
9861,"H0351.2001","24 years","EC891D",2469,65162,124,103,102,12893,"CA2 field","CA2","FFBF66",4249,"hippocampal formation","HiF","FFC466"
10021,"H0351.2002","39 years","0079C0",5676,1002583,111,79,112,12893,"CA2 field","CA2","FFBF66",4249,"hippocampal formation","HiF","FFC466"
12876,"H0351.1009","57 years","509800",13697,1278251,123,121,111,12893,"CA2 field","CA2","FFBF66",4249,"hippocampal formation","HiF","FFC466"
14380,"H0351.1012","31 years","960050",139379810,113044491,126,116,117,12893,"CA2 field","CA2","FFBF66",4249,"hippocampal formation","HiF","FFC466"
15496,"H0351.1015","49 years","C2C200",148955119,127589930,131,117,119,12893,"CA2 field","CA2","FFBF66",4249,"hippocampal formation","HiF","FFC466"
15697,"H0351.1016","55 years","EB3B00",160091931,145964254,124,125,107,12893,"CA2 field","CA2","FFBF66",4249,"hippocampal formation","HiF","FFC466"
9861,"H0351.2001","24 years","EC891D",2477,65161,123,103,102,12894,"CA3 field","CA3","FFC466",4249,"hippocampal formation","HiF","FFC466"
10021,"H0351.2002","39 years","0079C0",5684,1002649,108,77,110,12894,"CA3 field","CA3","FFC466",4249,"hippocampal formation","HiF","FFC466"
12876,"H0351.1009","57 years","509800",13746,1288533,123,106,126,12894,"CA3 field","CA3","FFC466",4249,"hippocampal formation","HiF","FFC466"
14380,"H0351.1012","31 years","960050",139379906,113355697,114,104,129,12894,"CA3 field","CA3","FFC466",4249,"hippocampal formation","HiF","FFC466"
15496,"H0351.1015","49 years","C2C200",148955266,138058295,114,101,130,12894,"CA3 field","CA3","FFC466",4249,"hippocampal formation","HiF","FFC466"
15697,"H0351.1016","55 years","EB3B00",160092009,157086569,109,107,133,12894,"CA3 field","CA3","FFC466",4249,"hippocampal formation","HiF","FFC466"
9861,"H0351.2001","24 years","EC891D",2435,65160,122,104,102,12895,"CA4 field","CA4","FFC966",4249,"hippocampal formation","HiF","FFC466"
10021,"H0351.2002","39 years","0079C0",5692,1002282,107,77,110,12895,"CA4 field","CA4","FFC966",4249,"hippocampal formation","HiF","FFC466"
